Date,Open,High,Low,SMA_10,EMA_10,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10
2020-02-20,75.95050048828125,76.35350036621094,75.21299743652344,75.42925033569335,75.31976695618272,76.24349975585938,75.97200012207031,75.9365005493164,75.66950225830078,75.93150329589844,75.50299835205078,75.43299865722656,73.95549774169922,73.79850006103516,72.30249786376953
2020-02-21,75.22899627685547,75.54750061035156,73.92449951171875,75.46669998168946,75.11126324069423,75.84950256347656,76.24349975585938,75.97200012207031,75.9365005493164,75.66950225830078,75.93150329589844,75.50299835205078,75.43299865722656,73.95549774169922,73.79850006103516
2020-02-24,71.15249633789062,71.81900024414062,70.3395004272461,75.17044982910156,74.36248741798988,74.1729965209961,75.84950256347656,76.24349975585938,75.97200012207031,75.9365005493164,75.66950225830078,75.93150329589844,75.50299835205078,75.43299865722656,73.95549774169922
2020-02-25,71.55000305175781,71.84249877929688,69.02100372314453,74.55875015258789,73.44494459509896,70.99299621582031,74.1729965209961,75.84950256347656,76.24349975585938,75.97200012207031,75.9365005493164,75.66950225830078,75.93150329589844,75.50299835205078,75.43299865722656
2020-02-26,69.7490005493164,70.68350219726562,68.82749938964844,73.96080017089844,72.7319544023821,69.31600189208984,70.99299621582031,74.1729965209961,75.84950256347656,76.24349975585938,75.97200012207031,75.9365005493164,75.66950225830078,75.93150329589844,75.50299835205078
2020-02-27,67.95700073242188,68.47000122070312,65.71199798583984,72.94239959716796,71.46205315805695,69.52349853515625,69.31600189208984,70.99299621582031,74.1729965209961,75.84950256347656,76.24349975585938,75.97200012207031,75.9365005493164,75.66950225830078,75.93150329589844
2020-02-28,63.71549987792969,67.12249755859375,63.410499572753906,72.07169952392579,70.6439528612973,65.74749755859375,69.52349853515625,69.31600189208984,70.99299621582031,74.1729965209961,75.84950256347656,76.24349975585938,75.97200012207031,75.9365005493164,75.66950225830078
2020-03-02,67.56950378417969,69.37349700927734,66.26000213623047,71.40964965820312,70.4025072305323,66.9625015258789,65.74749755859375,69.52349853515625,69.31600189208984,70.99299621582031,74.1729965209961,75.84950256347656,76.24349975585938,75.97200012207031,75.9365005493164
2020-03-03,69.88400268554688,70.40950012207031,66.46199798583984,70.5010498046875,69.76314256805625,69.31600189208984,66.9625015258789,65.74749755859375,69.52349853515625,69.31600189208984,70.99299621582031,74.1729965209961,75.84950256347656,76.24349975585938,75.97200012207031
2020-03-04,67.947998046875,69.13899993896484,66.8499984741211,69.78470001220703,69.63893516132869,66.88600158691406,69.31600189208984,66.9625015258789,65.74749755859375,69.52349853515625,69.31600189208984,70.99299621582031,74.1729965209961,75.84950256347656,76.24349975585938
2020-03-05,67.27749633789062,67.68150329589844,65.08200073242188,68.7735496520996,68.92967403425116,69.08000183105469,66.88600158691406,69.31600189208984,66.9625015258789,65.74749755859375,69.52349853515625,69.31600189208984,70.99299621582031,74.1729965209961,75.84950256347656
2020-03-06,63.497501373291016,65.13749694824219,62.86050033569336,67.83495025634765,68.17646103956487,65.73799896240234,69.08000183105469,66.88600158691406,69.31600189208984,66.9625015258789,65.74749755859375,69.52349853515625,69.31600189208984,70.99299621582031,74.1729965209961
2020-03-09,60.24800109863281,62.63650131225586,59.902000427246094,66.81460075378418,66.83337743058681,64.78700256347656,65.73799896240234,69.08000183105469,66.88600158691406,69.31600189208984,66.9625015258789,65.74749755859375,69.52349853515625,69.31600189208984,70.99299621582031
2020-03-10,62.71950149536133,63.79249954223633,60.72549819946289,66.25885047912598,66.27430865148153,60.78950119018555,64.78700256347656,65.73799896240234,69.08000183105469,66.88600158691406,69.31600189208984,66.9625015258789,65.74749755859375,69.52349853515625,69.31600189208984
2020-03-11,62.41350173950195,62.846500396728516,59.55699920654297,65.36100044250489,65.23261583647495,63.75849914550781,60.78950119018555,64.78700256347656,65.73799896240234,69.08000183105469,66.88600158691406,69.31600189208984,66.9625015258789,65.74749755859375,69.52349853515625
2020-03-12,56.13100051879883,59.4375,55.423500061035156,64.34400062561035,63.477140118870125,60.54499816894531,63.75849914550781,60.78950119018555,64.78700256347656,65.73799896240234,69.08000183105469,66.88600158691406,69.31600189208984,66.9625015258789,65.74749755859375
2020-03-13,58.7495002746582,60.720001220703125,55.614498138427734,63.71910057067871,62.97466027481419,55.57749938964844,60.54499816894531,63.75849914550781,60.78950119018555,64.78700256347656,65.73799896240234,69.08000183105469,66.88600158691406,69.31600189208984,66.9625015258789
2020-03-16,54.480499267578125,57.27349853515625,53.354000091552734,62.152500534057616,61.279267775007774,60.7135009765625,55.57749938964844,60.54499816894531,63.75849914550781,60.78950119018555,64.78700256347656,65.73799896240234,69.08000183105469,66.88600158691406,69.31600189208984
2020-03-17,54.53200149536133,56.29999923706055,52.45500183105469,61.05420036315918,60.30176452099357,53.650001525878906,60.7135009765625,55.57749938964844,60.54499816894531,63.75849914550781,60.78950119018555,64.78700256347656,65.73799896240234,69.08000183105469,66.88600158691406
