Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,EMA_10,RSI,MACD,MACD_Signal,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10
2020-02-20,186.9499969482422,187.25,181.10000610351562,184.4199981689453,178.9392547607422,36862400,185.33600158691405,183.76127208125777,62.81574417609944,5.788085348596667,5.853406456456263,187.27999877929688,187.22999572753906,185.35000610351562,183.7100067138672,184.7100067138672,184.44000244140625,188.6999969482422,183.88999938964844,183.6300048828125,179.89999389648438
2020-02-21,183.1699981689453,183.5,177.25,178.58999633789062,173.2825164794922,48572600,184.83200073242188,182.82104012791828,47.7534750754932,5.019952971515266,5.686715759468063,184.4199981689453,187.27999877929688,187.22999572753906,185.35000610351562,183.7100067138672,184.7100067138672,184.44000244140625,188.6999969482422,183.88999938964844,183.6300048828125
2020-02-24,167.77000427246094,174.5500030517578,163.22999572753906,170.88999938964844,165.8113250732422,68311100,183.53200073242186,180.6517599936874,35.323611855960394,3.7466876434975234,5.2987101362739555,178.58999633789062,184.4199981689453,187.27999877929688,187.22999572753906,185.35000610351562,183.7100067138672,184.7100067138672,184.44000244140625,188.6999969482422,183.88999938964844
2020-02-25,174.1999969482422,174.83999633789062,167.64999389648438,168.07000732421875,163.07518005371094,68073300,181.46900177001953,178.36416859923855,31.940489113570692,2.4814611659735704,4.735260342213878,170.88999938964844,178.58999633789062,184.4199981689453,187.27999877929688,187.22999572753906,185.35000610351562,183.7100067138672,184.7100067138672,184.44000244140625,188.6999969482422
2020-02-26,169.7100067138672,173.25999450683594,168.2100067138672,170.1699981689453,165.11276245117188,56206100,180.04200134277343,176.87431943009432,36.93793226911765,1.6294287376811667,4.114094021307336,168.07000732421875,170.88999938964844,178.58999633789062,184.4199981689453,187.27999877929688,187.22999572753906,185.35000610351562,183.7100067138672,184.7100067138672,184.44000244140625
2020-02-27,163.32000732421875,167.02999877929688,157.97999572753906,158.17999267578125,153.4790802001953,93174900,177.38899993896484,173.4753509293101,25.199493808883403,-0.013154699753982868,3.2886442770950723,170.1699981689453,168.07000732421875,170.88999938964844,178.58999633789062,184.4199981689453,187.27999877929688,187.22999572753906,185.35000610351562,183.7100067138672,184.7100067138672
2020-02-28,152.41000366210938,163.7100067138672,152.0,162.00999450683594,157.1952362060547,97012700,175.21899871826173,171.39074067067844,32.781178688855874,-0.9944019226203977,2.4320350371519783,158.17999267578125,170.1699981689453,168.07000732421875,170.88999938964844,178.58999633789062,184.4199981689453,187.27999877929688,187.22999572753906,185.35000610351562,183.7100067138672
2020-03-02,165.30999755859375,172.9199981689453,162.30999755859375,172.7899932861328,167.6548614501953,71030800,173.96299743652344,171.64515023712468,48.960062254438,-0.8919102211317238,1.7672459854952378,162.00999450683594,158.17999267578125,170.1699981689453,168.07000732421875,170.88999938964844,178.58999633789062,184.4199981689453,187.27999877929688,187.22999572753906,185.35000610351562
2020-03-03,173.8000030517578,175.0,162.25999450683594,164.50999450683594,159.62094116210938,71677000,171.6909973144531,170.347849195254,40.616855496221326,-1.4619589590986948,1.1214049965764514,172.7899932861328,162.00999450683594,158.17999267578125,170.1699981689453,168.07000732421875,170.88999938964844,178.58999633789062,184.4199981689453,187.27999877929688,187.22999572753906
2020-03-04,168.49000549316406,170.6999969482422,165.6199951171875,170.5500030517578,165.48146057128906,49814400,170.01799774169922,170.38460444189107,47.82346587795497,-1.410093796268768,0.6151052380074076,164.50999450683594,172.7899932861328,162.00999450683594,158.17999267578125,170.1699981689453,168.07000732421875,170.88999938964844,178.58999633789062,184.4199981689453,187.27999877929688
2020-03-05,166.0500030517578,170.8699951171875,165.69000244140625,166.27000427246094,161.32864379882812,47817300,168.20299835205077,169.6364953201765,43.6524656466601,-1.6948136562602656,0.15312145915387299,170.5500030517578,164.50999450683594,172.7899932861328,162.00999450683594,158.17999267578125,170.1699981689453,168.07000732421875,170.88999938964844,178.58999633789062,184.4199981689453
2020-03-06,162.61000061035156,163.11000061035156,156.0,161.57000732421875,156.76829528808594,72821100,166.5009994506836,168.16986113909326,39.45390367397602,-2.273499187381077,-0.33220267015311705,166.27000427246094,170.5500030517578,164.50999450683594,172.7899932861328,162.00999450683594,158.17999267578125,170.1699981689453,168.07000732421875,170.88999938964844,178.58999633789062
2020-03-09,151.0,157.75,150.0,150.6199951171875,146.1437530517578,70419300,164.4739990234375,164.97897640783768,31.58887274280218,-3.574481711898386,-0.9806584785021709,161.57000732421875,166.27000427246094,170.5500030517578,164.50999450683594,172.7899932861328,162.00999450683594,158.17999267578125,170.1699981689453,168.07000732421875,170.88999938964844
2020-03-10,158.16000366210938,161.02999877929688,152.5800018310547,160.9199981689453,156.1376190185547,65354400,163.75899810791014,164.2409803644027,43.38461244148823,-3.731382515161755,-1.5308032858340879,150.6199951171875,161.57000732421875,166.27000427246094,170.5500030517578,164.50999450683594,172.7899932861328,162.00999450683594,158.17999267578125,170.1699981689453,168.07000732421875
2020-03-11,157.1300048828125,157.6999969482422,151.14999389648438,153.6300048828125,149.0643310546875,56371600,162.10499877929686,162.31171209502267,38.20427908079864,-4.393325543220129,-2.1033077373112965,160.9199981689453,150.6199951171875,161.57000732421875,166.27000427246094,170.5500030517578,164.50999450683594,172.7899932861328,162.00999450683594,158.17999267578125,170.1699981689453
2020-03-12,145.3000030517578,153.47000122070312,138.5800018310547,139.05999755859375,134.9272918701172,93226400,160.19299926757813,158.08412763385377,30.197131861468378,-6.024155274334959,-2.8874772447160293,153.6300048828125,160.9199981689453,150.6199951171875,161.57000732421875,166.27000427246094,170.5500030517578,164.50999450683594,172.7899932861328,162.00999450683594,158.17999267578125
2020-03-13,147.5,161.91000366210938,140.72999572753906,158.8300018310547,154.1097412109375,92727400,159.875,158.21974112425391,46.957814365905136,-5.656125175560987,-3.4412068308850214,139.05999755859375,153.6300048828125,160.9199981689453,150.6199951171875,161.57000732421875,166.27000427246094,170.5500030517578,164.50999450683594,172.7899932861328,162.00999450683594
2020-03-16,140.0,149.35000610351562,135.0,135.4199981689453,131.3955078125,87905900,156.13800048828125,154.07433331419782,35.68452685243881,-7.170789918221857,-4.187123448352389,158.8300018310547,139.05999755859375,153.6300048828125,160.9199981689453,150.6199951171875,161.57000732421875,166.27000427246094,170.5500030517578,164.50999450683594,172.7899932861328
2020-03-17,140.0,147.5,135.0,146.57000732421875,142.21412658691406,81059800,154.34400177001953,152.70991040692888,42.93466545716812,-7.386315240760894,-4.82696180683409,135.4199981689453,158.8300018310547,139.05999755859375,153.6300048828125,160.9199981689453,150.6199951171875,161.57000732421875,166.27000427246094,170.5500030517578,164.50999450683594
